Date,Close,Polarity,Prediction,Subjectivity,
02/01/2020,52.99,0.086881125,0,0.586791763,
03/01/2020,52.34,0.105187709,0,0.568364398,
04/01/2020,52.67,0.114956656,0,0.570994206,
05/01/2020,52.65,0.125741524,0,0.598664054,
08/01/2020,52.13,0.115634518,0,0.60247057,
09/01/2020,52.08,0.126715404,0,0.585811265,
10/01/2020,53.78,0.148516268,0,0.595529588,
11/01/2020,56.42,0.137391007,0,0.585422148,
12/01/2020,58.47,0.142896366,0,0.598149185,
16/01/2020,57.98,0.160052735,0,0.579475944,
17/01/2020,58.16,0.178042229,0,0.587110282,
18/01/2020,58.34,0.183219337,0,0.594252853,
19/01/2020,58.06,0.175375941,0,0.597077374,
22/01/2020,58.1,0.1765009,0,0.594996202,
23/01/2020,58.29,0.179614833,0,0.591679661,
24/01/2020,54.79,0.193245606,0,0.574954305,
25/01/2020,53.05,0.260936818,0,0.585411539,
26/01/2020,53.07,0.205040389,0,0.589774796,
29/01/2020,52.68,0.151615589,0,0.585186744,
30/01/2020,52.59,0.180805178,0,0.583461682,
31/01/2020,54.32,0.201376985,0,0.59451379,
01/02/2020,53.88,0.21282053,0,0.577868598,
02/02/2020,52.1,0.198538713,0,0.598764936,
05/02/2020,49.76,0.126824842,0,0.59638735,
06/02/2020,51.18,0.178619966,0,0.579563729,
07/02/2020,51.4,0.182135636,0,0.591074529,
08/02/2020,48.6,0.169100775,0,0.576071768,
09/02/2020,48.36,0.168960614,0,0.591456259,
12/02/2020,50.09,0.165392566,0,0.600930545,
13/02/2020,50.87,0.188690321,0,0.578061297,
14/02/2020,51.07,0.187839521,0,0.570639202,
15/02/2020,51.67,0.162716798,0,0.594117425,
16/02/2020,51.58,0.154586308,0,0.595417317,
20/02/2020,51.72,0.153047307,0,0.591919987,
21/02/2020,52.78,0.127130382,0,0.580540621,
22/02/2020,52.98,0.161399839,0,0.595480735,
23/02/2020,53.39,0.155869459,0,0.594856665,
26/02/2020,55,0.154175411,0,0.584430678,
27/02/2020,54.26,0.205358632,0,0.567896258,
28/02/2020,54.25,0.182338866,0,0.586818673,
01/03/2020,53.48,0.156061005,0,0.58475296,
02/03/2020,53.18,0.108272573,0,0.570037026,
05/03/2020,53.19,0.155706205,0,0.586281319,
06/03/2020,53.57,0.154903371,0,0.569078481,
07/03/2020,54.11,0.173214914,0,0.574084342,
08/03/2020,54.79,0.149656142,0,0.562921903,
09/03/2020,56.07,0.158466715,0,0.587175623,
12/03/2020,56.5,0.190985862,0,0.582786046,
13/03/2020,56.23,0.161856291,0,0.594919581,
14/03/2020,55.28,0.154062565,0,0.57508567,
15/03/2020,55.17,0.159276628,0,0.563457251,
16/03/2020,55.4,0.169808903,0,0.591231612,
19/03/2020,54.62,0.151501167,0,0.585949309,
20/03/2020,55.32,0.136356889,0,0.579615591,
21/03/2020,54.09,0.131730544,0,0.589711658,
22/03/2020,52.31,0.158811704,0,0.591049765,
23/03/2020,51.01,0.120319807,0,0.591178041,
26/03/2020,51.86,0.185344125,0,0.584749682,
27/03/2020,50.9,0.178591395,0,0.587157723,
28/03/2020,50.85,0.1492185,0,0.567658802,
29/03/2020,51.96,0.174681488,0,0.59373213,
02/04/2020,49.78,0.124100916,0,0.615402138,
03/04/2020,51.47,0.209367812,0,0.607420329,
04/04/2020,52.04,0.105634398,0,0.601477708,
05/04/2020,52.14,0.157039228,0,0.599434175,
